"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Jungle",4,"11.4%","31.4%","48.6%","50%","25%",16,9,23,4.3,"70.9%","20.5%","25%",501,426,8.8,8.1,"22.3%",497,"19.3%","22.3%",0.37,0.33
"Aatrox","Top",2,"5.7%","31.4%","48.6%","100%","100%",12,3,14,8.7,"63.4%","17.6%","0%",482,108,11.5,9.2,"26.4%",1028,"27.7%","23.5%",0.3,0.16
"Ahri","Middle",6,"17.1%","8.6%","25.7%","33%","50%",14,17,31,2.6,"69.2%","18.1%","17%",-419,-112,-7,8.3,"24.2%",634,"23.1%","20.8%",0.47,0.25
"Akali","Middle",2,"5.7%","40.0%","45.7%","0%","100%",3,8,4,0.9,"46.7%","23.5%","0%",-405,-187,-10,8.1,"21.9%",386,"14.8%","18.6%",0.3,0.28
"Alistar","Support",5,"14.3%","0.0%","14.3%","60%","40%",3,14,46,3.5,"70.0%","20.9%","20%",-86,-80,1.4,1.1,"2.3%",162,"6.5%","10.3%",2.25,0.47
"Ambessa","Top",6,"17.1%","2.9%","20.0%","67%","33%",12,16,21,2.1,"42.9%","26.7%","0%",-271,-7,-5.3,8.5,"24.8%",601,"23.5%","20.2%",0.42,0.13
"Anivia","Support",2,"5.7%","8.6%","20.0%","100%","100%",5,1,27,32,"86.5%","7.1%","100%",111,64,1.5,1.4,"3.7%",354,"13.4%","13.3%",1.94,0.66
"Anivia","Top",2,"5.7%","8.6%","20.0%","50%","50%",1,6,9,1.7,"47.6%","20.7%","0%",-490,-359,-8.5,7.5,"25.1%",489,"23.5%","18.1%",0.57,0.14
"Annie","Middle",6,"17.1%","17.1%","34.3%","50%","33%",15,20,25,2,"54.8%","28.2%","33%",55,33,5.8,7.1,"18.3%",564,"21.4%","17.4%",0.35,0.22
"Aphelios","ADC",1,"2.9%","0.0%","2.9%","0%","0%",5,1,1,6,"60.0%","5.9%","0%",606,329,9,10.1,"31.7%",834,"28.5%","30.7%",0.43,0.37
"Ashe","ADC",5,"14.3%","2.9%","17.1%","40%","0%",11,20,26,1.9,"63.8%","25.6%","0%",-363,-205,-7.4,9.3,"28.5%",617,"24.2%","24.3%",0.43,0.25
"Aurora","Middle",4,"11.4%","20.0%","31.4%","75%","50%",25,4,14,9.8,"63.9%","10.5%","25%",-85,-108,-5.8,8.6,"23.6%",670,"25.9%","22.7%",0.27,0.35
"Azir","Middle",1,"2.9%","0.0%","2.9%","100%","100%",0,2,6,3,"46.2%","16.7%","0%",66,-338,-9,9.3,"30.7%",461,"23.7%","21.3%",0.56,0.24
"Bard","Support",8,"22.9%","14.3%","37.1%","50%","38%",4,20,80,4.2,"75.7%","19.0%","50%",147,195,-1,1.2,"3.2%",271,"9.4%","10.6%",2.11,0.74
"Caitlyn","ADC",7,"20.0%","11.4%","31.4%","29%","57%",31,19,32,3.3,"66.3%","18.3%","43%",248,126,5.1,9.9,"31.0%",884,"31.5%","27.2%",0.41,0.33
"Camille","Support",1,"2.9%","5.7%","8.6%","0%","100%",1,4,5,1.5,"37.5%","22.2%","100%",36,-352,1,1.2,"2.7%",182,"7.0%","10.5%",1.92,0.46
"Cassiopeia","Middle",6,"17.1%","11.4%","28.6%","50%","50%",18,17,39,3.4,"60.0%","21.8%","17%",-109,188,6.2,8.2,"24.8%",652,"23.8%","19.7%",0.51,0.21
"Corki","ADC",5,"14.3%","2.9%","17.1%","80%","20%",28,8,33,7.6,"71.8%","16.0%","20%",-12,19,-2,9.3,"29.1%",841,"26.0%","26.7%",0.44,0.27
"Dr. Mundo","Jungle",1,"2.9%","2.9%","5.7%","100%","100%",6,1,5,11,"84.6%","8.3%","0%",-303,473,11,7.3,"20.6%",538,"27.7%","23.9%",0.35,0.54
"Draven","ADC",1,"2.9%","0.0%","2.9%","0%","100%",1,2,1,1,"22.2%","16.7%","0%",219,127,19,9.9,"30.6%",778,"27.3%","25.8%",0.4,0.29
"Ezreal","ADC",8,"22.9%","5.7%","28.6%","75%","13%",45,16,37,5.1,"61.2%","15.0%","25%",147,166,6.3,9.8,"30.6%",1026,"32.3%","27.7%",0.45,0.25
"Galio","Middle",3,"8.6%","8.6%","17.1%","67%","100%",3,8,30,4.1,"71.7%","23.5%","67%",209,-120,1.3,8.6,"21.4%",529,"20.2%","19.5%",0.3,0.18
"Gnar","Top",9,"25.7%","8.6%","34.3%","11%","56%",16,31,27,1.4,"48.9%","19.9%","0%",190,-13,4.3,9.1,"28.1%",656,"23.7%","22.9%",0.45,0.22
"Gwen","Top",2,"5.7%","5.7%","11.4%","50%","50%",5,8,8,1.6,"50.0%","29.6%","0%",-664,-126,-5.5,8.6,"25.3%",530,"20.9%","19.8%",0.43,0.11
"Hwei","Middle",1,"2.9%","0.0%","2.9%","0%","100%",1,3,3,1.3,"80.0%","16.7%","0%",-753,-967,-36,8,"27.4%",501,"23.7%","20.4%",0.43,0.11
