"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Jungle",1,"0.5%","0.0%","1.0%","0%","100%",2,5,2,0.8,"80.0%","21.7%","0%",446,105,2,6.4,"16.9%",282,"16.4%","22.5%",0.38,0.7
"Aatrox","Top",1,"0.5%","0.0%","1.0%","0%","100%",1,4,2,0.8,"37.5%","28.6%","0%",-541,-44,-17,8.3,"24.4%",395,"20.5%","18.3%",0.41,0.16
"Ahri","Middle",24,"11.8%","4.4%","16.2%","63%","42%",118,51,159,5.4,"70.1%","14.6%","4%",213,81,3.5,9.4,"26.3%",723,"24.8%","22.7%",0.32,0.26
"Akali","Middle",20,"9.8%","18.6%","28.4%","40%","95%",89,62,81,2.7,"56.1%","19.6%","5%",-230,-39,-7.1,8.6,"23.6%",584,"22.1%","21.4%",0.3,0.21
"Alistar","Support",12,"5.9%","2.5%","8.3%","58%","75%",6,37,139,3.9,"71.1%","20.7%","58%",-179,-18,1.5,1,"1.7%",146,"5.2%","9.6%",2.03,0.36
"Ambessa","Jungle",5,"2.5%","10.3%","28.4%","0%","40%",10,19,20,1.6,"63.8%","18.3%","60%",354,285,5.6,7,"20.5%",375,"13.9%","19.8%",0.38,0.34
"Ambessa","Top",32,"15.7%","10.3%","28.4%","31%","75%",82,93,145,2.4,"55.8%","17.0%","3%",-75,16,-3.4,8.6,"25.3%",680,"24.5%","20.9%",0.39,0.14
"Anivia","Middle",24,"11.8%","14.7%","33.8%","67%","83%",97,51,149,4.8,"66.1%","15.1%","17%",3,66,0,8.8,"24.5%",674,"23.2%","21.4%",0.5,0.26
"Anivia","Support",8,"3.9%","14.7%","33.8%","38%","75%",4,34,58,1.8,"66.7%","23.8%","50%",186,-40,-2.8,1.3,"3.6%",291,"10.6%","10.6%",1.7,0.51
"Anivia","Top",7,"3.4%","14.7%","33.8%","29%","71%",15,23,25,1.7,"43.0%","19.8%","14%",74,37,1,7.9,"21.4%",548,"19.8%","18.4%",0.56,0.19
"Annie","Middle",50,"24.5%","15.2%","40.2%","56%","20%",148,160,360,3.2,"64.5%","23.1%","22%",20,-1,2.3,8.3,"22.0%",709,"23.6%","19.5%",0.33,0.26
"Annie","Top",1,"0.5%","15.2%","40.2%","100%","100%",2,8,9,1.4,"61.1%","47.1%","0%",-856,243,-8,5.8,"12.3%",571,"18.6%","12.5%",0.37,0.19
"Aphelios","ADC",3,"1.5%","1.0%","2.5%","67%","100%",13,8,21,4.3,"70.8%","22.9%","67%",339,368,8,10.5,"32.9%",738,"27.3%","29.7%",0.47,0.52
"Ashe","ADC",48,"23.5%","24.0%","47.5%","56%","29%",188,138,303,3.6,"71.5%","21.2%","23%",-74,-158,-0.2,10,"29.7%",658,"24.4%","26.2%",0.43,0.41
"Aurelion Sol","Middle",1,"0.5%","0.0%","0.5%","0%","100%",3,2,2,2.5,"62.5%","10.0%","0%",-357,-935,-19,9.5,"29.6%",465,"18.7%","24.6%",0.46,0.25
"Aurora","Middle",39,"19.1%","7.8%","28.9%","41%","56%",179,98,197,3.8,"65.6%","17.0%","10%",47,10,-1,8.8,"24.4%",715,"26.6%","21.7%",0.34,0.26
