"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","TDPG","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Ackerman","LØS","Support",25,"60%","52%",23,34,256,8.2,"77.1%","6.4%","11.8%","40%",105,196,1.3,1.2,"2.9%",258,"9.0%","7.8%",1791,143,"11.3%",0,1.92,0.57,0.53
"Ayu","FURIA","ADC",10,"90%","60%",36,13,69,8.1,"67.3%","23.1%","16.7%","0%",98,42,3.3,9.7,"30.3%",752,"30.4%","32.8%",9562,354,"26.8%",0,0.45,0.15,0.29
"BAO","Fluxo W7M","ADC",14,"43%","43%",59,30,53,3.7,"65.1%","34.3%","15.4%","14%",-130,-1,1.2,9.8,"30.5%",791,"30.3%","32.7%",6487,331,"27.3%",0,0.55,0.17,0.3
"Bull","LOUD","ADC",12,"42%","25%",33,29,56,3.1,"62.7%","23.2%","17.7%","17%",-109,60,1.9,9.6,"29.7%",673,"25.7%","28.0%",5105,306,"25.1%",0,0.38,0.08,0.27
"ceo","Vivo Keyd Stars","ADC",7,"14%","71%",17,28,18,1.3,"62.5%","30.4%","21.4%","14%",-93,-240,-5.1,9.8,"32.1%",638,"22.6%","23.6%",4192,299,"27.5%",0,0.53,0.17,0.28
"cody","Fluxo W7M","Middle",14,"43%","57%",40,35,70,3.1,"64.0%","23.3%","17.9%","21%",88,306,1.2,8.5,"23.9%",679,"26.6%","26.6%",7358,261,"21.8%",0,0.66,0.37,0.23
"Curse","LØS","Jungle",25,"60%","36%",52,80,192,3.1,"67.4%","14.4%","27.7%","36%",-94,-40,-1.9,6.4,"17.3%",447,"15.3%","16.3%",2450,228,"17.9%",3,0.32,0.26,0.32
"curty","Fluxo W7M","Top",14,"43%","21%",26,42,63,2.1,"51.7%","15.1%","21.5%","21%",-352,-131,-14.6,7.8,"23.2%",498,"19.4%","18.2%",7062,235,"19.5%",0,0.39,0.15,0.15
"Duduhh","LØS","ADC",25,"60%","56%",111,55,120,4.2,"63.8%","30.7%","19.0%","24%",17,16,-2.4,9.5,"29.9%",803,"27.2%","29.8%",8642,344,"26.9%",0,0.43,0.14,0.29
"Envy","LOUD","Middle",12,"42%","50%",27,30,54,2.7,"57.0%","19.0%","18.3%","17%",-149,-167,-8.3,8.1,"23.1%",586,"22.7%","22.9%",5750,241,"19.9%",0,0.35,0.1,0.15
"Feisty","LØS","Middle",25,"60%","40%",91,54,133,4.1,"61.9%","25.1%","18.7%","32%",96,-78,5.6,8.3,"22.8%",666,"23.2%","23.2%",5931,257,"20.2%",0,0.36,0.26,0.25
"frosty","RED Canids","Support",10,"30%","50%",9,27,81,3.3,"81.1%","8.1%","18.8%","20%",20,-83,2.8,1.2,"2.4%",193,"7.1%","5.7%",770,125,"10.3%",0,2.25,0.67,0.5
"Guigo","FURIA","Top",10,"90%","60%",22,18,67,4.9,"57.1%","14.1%","23.1%","0%",-300,-90,-5.7,8.3,"23.0%",503,"19.8%","17.7%",8536,258,"19.4%",0,0.4,0.18,0.21
"JoJo","FURIA","Support",10,"90%","40%",4,14,120,8.9,"79.5%","2.6%","17.9%","20%",-119,-79,-2.4,1.1,"2.6%",179,"7.2%","5.5%",532,136,"10.2%",0,2.09,0.59,0.57
"Kaiwing","Vivo Keyd Stars","Support",7,"14%","29%",3,23,40,1.9,"76.8%","5.4%","17.6%","14%",-99,-135,2.4,1.1,"2.5%",260,"9.1%","6.9%",607,115,"10.5%",0,1.89,0.26,0.47
"Kaze","RED Canids","Middle",10,"30%","60%",24,32,48,2.3,"64.9%","21.6%","22.2%","20%",-176,-53,-1.8,7.9,"21.2%",599,"22.0%","23.3%",5678,230,"19.4%",0,0.48,0.25,0.16
"Mireu","Vivo Keyd Stars","Middle",7,"14%","71%",19,27,22,1.5,"73.2%","33.9%","20.6%","0%",-16,113,3.1,9.1,"26.1%",856,"29.9%","31.9%",5758,263,"24.0%",0,0.38,0.09,0.17
"Momochi","Fluxo W7M","Support",14,"43%","64%",10,39,109,3.1,"69.2%","5.8%","20.0%","21%",-179,-301,-1.9,1,"1.6%",169,"6.7%","4.7%",693,120,"10.0%",0,2.06,0.55,0.36
"Morttheus","RED Canids","ADC",10,"30%","50%",26,21,51,3.7,"69.4%","23.4%","14.6%","20%",236,17,2.3,9.7,"30.4%",821,"29.6%","31.5%",5607,334,"27.7%",0,0.46,0.18,0.35
"Peach","Fluxo W7M","Jungle",14,"43%","43%",37,49,84,2.5,"70.3%","21.5%","25.1%","29%",113,164,2.8,7.4,"20.8%",438,"17.1%","17.8%",1789,258,"21.4%",1,0.36,0.23,0.38
"sarolu","Vivo Keyd Stars","Jungle",7,"14%","43%",13,26,27,1.5,"71.4%","23.2%","19.8%","14%",-447,-223,-2.7,6.2,"16.6%",497,"17.4%","20.0%",339,210,"19.2%",1,0.32,0.28,0.48
"STEPZ","RED Canids","Jungle",10,"30%","60%",34,34,46,2.4,"72.1%","30.6%","23.6%","40%",50,125,3,7.3,"20.0%",496,"18.7%","19.9%",1880,258,"21.4%",1,0.37,0.3,0.39
