"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","TDPG","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Aiming","KT Rolster","ADC",38,"63%","45%",188,81,245,5.3,"71.7%","31.1%","16.3%","29%",-53,42,-0.1,10.5,"33.7%",805,"28.5%","31.0%",9526,375,"28.6%",0,0.43,0.12,0.38
"Andil","Kiwoom DRX","Support",44,"36%","55%",26,182,397,2.3,"70.9%","4.4%","25.2%","23%",-135,-39,1.3,1,"1.9%",227,"8.5%","6.6%",497,123,"9.9%",0,1.72,0.36,0.38
"Bdd","KT Rolster","Middle",41,"63%","51%",159,102,285,4.4,"68.2%","24.4%","18.9%","17%",78,-37,2.9,8.9,"24.1%",698,"24.6%","25.2%",5607,271,"21.0%",1,0.47,0.21,0.19
"Bluffing","Hanwha Life Esports","Support",3,"67%","33%",4,12,41,3.8,"84.9%","7.5%","21.8%","33%",-128,-320,-3,1,"2.5%",303,"9.7%","9.2%",1141,160,"11.5%",0,1.92,0.36,0.42
"Canyon","Gen.G","Jungle",41,"73%","61%",145,108,376,4.8,"72.8%","20.3%","23.6%","41%",9,-23,0.1,7.2,"19.3%",494,"16.1%","17.9%",3579,276,"19.9%",6,0.44,0.36,0.32
"Career","Dplus Kia","Support",42,"57%","48%",38,77,393,5.6,"75.7%","6.7%","14.9%","31%",55,97,1.7,1.2,"2.2%",247,"9.1%","7.0%",939,139,"10.5%",1,1.94,0.36,0.51
"Casting","HANJIN BRION","Top",40,"40%","53%",79,106,216,2.8,"53.7%","14.4%","19.3%","18%",-44,-35,-2.9,8.4,"22.8%",600,"22.8%","20.5%",8177,255,"20.1%",0,0.57,0.19,0.17
"Chovy","Gen.G","Middle",41,"73%","56%",190,80,307,6.2,"69.4%","26.5%","17.5%","22%",184,222,7.5,9.7,"26.4%",834,"27.2%","27.6%",8627,317,"22.8%",0,0.38,0.1,0.4
"Clear","BNK FEARX","Top",39,"36%","62%",101,119,153,2.1,"48.3%","19.2%","18.3%","5%",-25,-18,-2.5,8.6,"24.1%",555,"21.0%","20.8%",6748,254,"20.5%",0,0.42,0.11,0.17
"Clozer","DN SOOPers","Middle",37,"8%","51%",89,111,114,1.8,"63.0%","27.6%","17.2%","16%",-109,-14,-0.5,9.2,"26.1%",601,"25.5%","24.9%",3578,246,"22.1%",0,0.43,0.19,0.18
"Cuzz","KT Rolster","Jungle",41,"63%","46%",136,130,319,3.5,"69.9%","20.9%","24.1%","27%",55,5,0.7,6.4,"16.9%",449,"15.6%","16.1%",2915,247,"19.1%",4,0.34,0.29,0.47
"Daystar","BNK FEARX","Middle",10,"40%","70%",38,32,57,3,"61.3%","24.5%","18.4%","0%",-401,-313,-10.3,8.6,"25.3%",605,"21.7%","22.5%",6702,273,"21.4%",0,0.46,0.26,0.23
"DDoiV","DN SOOPers","Jungle",2,"0%","50%",1,6,3,0.7,"44.4%","11.1%","22.2%","50%",-454,-394,-7.5,5.9,"14.8%",247,"11.9%","16.2%",0,171,"16.8%",0,0.29,0.25,0.27
"Delight","Hanwha Life Esports","Support",40,"75%","50%",47,109,491,4.9,"73.9%","6.5%","20.1%","35%",98,44,2.4,1.2,"2.6%",223,"7.4%","5.4%",1115,157,"11.2%",0,1.91,0.37,0.55
"deokdam","DN SOOPers","ADC",33,"9%","64%",73,116,134,1.8,"68.1%","24.0%","20.1%","24%",-427,-312,-12.5,9.2,"29.2%",617,"26.3%","28.2%",3232,294,"26.0%",0,0.43,0.11,0.28
"Diable","Nongshim RedForce","ADC",21,"19%","38%",82,83,100,2.2,"65.7%","29.6%","19.6%","19%",16,114,2.5,9.8,"32.9%",795,"26.5%","27.6%",7013,339,"27.8%",0,0.48,0.16,0.33
"Diable","BNK FEARX","ADC",17,"29%","35%",73,61,86,2.6,"71.9%","33.0%","19.7%","24%",-279,-51,0.8,9.6,"31.7%",793,"29.8%","32.9%",7180,355,"28.2%",1,0.51,0.18,0.3
"Doran","T1","Top",40,"75%","38%",123,130,234,2.7,"51.7%","17.8%","23.1%","5%",-168,-156,-1,8.5,"23.7%",673,"22.9%","22.0%",7102,264,"19.6%",0,0.42,0.16,0.18
"DuDu","DN SOOPers","Top",37,"8%","51%",52,109,100,1.4,"47.2%","16.1%","16.8%","8%",55,31,1.8,9,"26.2%",574,"24.1%","22.1%",5913,243,"22.1%",0,0.36,0.15,0.19
"Duro","Gen.G","Support",41,"73%","39%",40,84,508,6.5,"76.5%","5.6%","18.3%","44%",85,2,-4.4,0.9,"2.2%",262,"8.6%","6.7%",570,144,"10.4%",0,2.01,0.43,0.5
"Effort","KT Rolster","Support",41,"63%","44%",41,114,468,4.5,"78.2%","6.3%","21.2%","29%",-32,-115,-0.5,1,"2.3%",237,"8.4%","6.3%",1034,145,"11.2%",0,2.12,0.51,0.5
