"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","GRB%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"BNK FEARX",39,14,25,31.5,526,649,0.81,0.96,-0.55,"-3.9%",41,-5.1,-741,"33%","56%","44%",24.5,"51%","43%","46%","45%","50%","36%","45%","49.7%","48.1%",3.67,1.25,1.59
"DN SOOPers",37,3,34,29.5,322,647,0.5,0.89,-1.86,"-11.1%",32.1,-24,-1834,"43%","11%","5%",13.6,"19%","45%","43%","29%","0%","22%","24%","49.1%","44.8%",3.53,1.16,1.5
"Dplus Kia",42,24,18,31.9,569,516,1.1,0.81,0.49,"2.8%",55.2,2,619,"52%","62%","62%",29.2,"61%","39%","55%","48%","0%","48%","47%","50.3%","50.9%",3.76,1.24,1.67
"Gen.G",41,30,11,31.2,716,458,1.56,0.92,1.09,"8.4%",61.7,11.5,897,"61%","59%","68%",33.2,"60%","55%","59%","63%","0%","76%","69%","51.1%","53.6%",3.75,1.23,1.79
"HANJIN BRION",40,16,24,33.5,549,549,1,0.82,-0.13,"-0.7%",48.5,-8.5,-194,"55%","43%","33%",26.3,"44%","50%","53%","50%","40%","45%","46%","49.2%","51.3%",3.85,1.21,1.59
"Hanwha Life Esports",43,32,11,30.4,781,598,1.31,1.05,0.91,"6.8%",58.5,15.9,883,"56%","67%","72%",32.3,"68%","69%","37%","54%","0%","70%","73%","50.2%","53.4%",3.64,1.22,1.71
"Kiwoom DRX",44,16,28,31.5,597,723,0.83,0.95,-0.69,"-4.7%",40.9,-4.6,-910,"41%","34%","43%",22.7,"44%","49%","55%","54%",,"41%","48%","49.5%","48.7%",3.38,1.02,1.51
"KT Rolster",41,26,15,31.9,651,539,1.21,0.91,0.25,"0.3%",55.4,8,566,"54%","59%","61%",29.7,"44%","70%","54%","53%","33%","49%","50%","50.1%","49.3%",3.83,1.32,1.71
"Nongshim RedForce",41,13,28,31.4,579,758,0.76,1.04,-0.28,"-2.1%",46.7,-15,-156,"46%","49%","41%",24.3,"46%","53%","51%","47%","100%","34%","41%","50.0%","47.6%",3.39,1.28,1.58
"T1",40,30,10,32.1,690,562,1.23,0.97,0.48,"2.9%",58.1,16.9,674,"58%","58%","65%",30,"62%","23%","48%","53%","100%","43%","50%","50.6%","51.7%",3.85,1.18,1.62
